id	basisOfRecord	occurrenceID	occurrenceRemarks	recordedBy	individualCount	behavior	eventID	order	family	scientificNameAuthorship	vernacularName
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_341		Martin Sindikubwabo, Toa Avalos	1		T2-5			Cinnyrus mariquensis	Marico Sunbird
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_342		Martin Sindikubwabo, Toa Avalos	1		T2-5			Colius striatus	Speckled mousebird
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_343		Martin Sindikubwabo, Toa Avalos	1		T2-5			Falco tinnunclus	Common Kestrel
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_344		Martin Sindikubwabo, Toa Avalos	2		T2-4			Logonostica senegala	Red-billed Firefish
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_345		Martin Sindikubwabo, Toa Avalos	1		T2-4			Colius striatus	Speckled mousebird
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_346		Martin Sindikubwabo, Toa Avalos	2		T2-4			Haliaeetus vocifer	African Fish Eagle
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_347		Martin Sindikubwabo, Toa Avalos	16		T2-4			Quelea quelea	Red-billed Quelea
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_348		Martin Sindikubwabo, Toa Avalos	2		T2-4			Hirundo daurca	Red-rumped Swallow
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_349		Martin Sindikubwabo, Toa Avalos	2		T2-4			Uraeginthus bengalus	Red-cheeked Cordon-bleu
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_350		Martin Sindikubwabo, Toa Avalos	2		T2-3			Turtur tympanistria	Tambourine Dove
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_351		Martin Sindikubwabo, Toa Avalos	6		T2-3			Quelea quelea	Red-billed Quelea
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_352		Martin Sindikubwabo, Toa Avalos	1		T2-3			Pernis apivorus	European Honey-Buzzard
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_353		Martin Sindikubwabo, Toa Avalos	3		T2-3			Hirundo rustica	Barn swallow
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_354		Martin Sindikubwabo, Toa Avalos	1		T2-2			Mycteria ibis	Yellow-billed Stock
T2-2	HumanObservation	ARCOS_ILAM_2017_Rusumo_355		Martin Sindikubwabo, Toa Avalos	3		T2-2			Plectropterus gambensis	Spur-winged Goose
