id	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	individualCount	year	continent	country	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	scientificName	kingdom	phylum	class	order	family	taxonRank	vernacularName	taxonRemarks
urn:catalog:ARCOS:ECHUYA_2012:38	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:38	38	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2537	2537	-1.255341	29.815483	Pogoniulus bilineatus	ANIMALIA	CHORDATA	BIRDS	PICIFORMES	RAMPHASTIDAE	species	Yellow-rumped tinkerbird	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:39	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:39	39	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2537	2537	-1.255341	29.815483	Telophorus dohertyi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Dohety's bushshrike	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:40	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:40	40	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2537	2537	-1.255341	29.815483	Pogoniulus bilineatus	ANIMALIA	CHORDATA	BIRDS	PICIFORMES	RAMPHASTIDAE	species	Yellow-rumped tinkerbird	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:41	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:41	41	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2490	2490	-1.256741	29.816517	Bradypterus cinnamomeus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	SYLVIIDAE	species	Cinnamon bracken warbler	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:42	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:42	42	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2490	2490	-1.256741	29.816517	Pogoniulus bilineatus	ANIMALIA	CHORDATA	BIRDS	PICIFORMES	RAMPHASTIDAE	species	Yellow-rumped tinkerbird	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:43	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:43	43	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2490	2490	-1.256741	29.816517	Malaconotus dohertyi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Dohety's bushshrike	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:44	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:44	44	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2490	2490	-1.256741	29.816517	Stephanoaetus coronatus	ANIMALIA	CHORDATA	BIRDS	ACCIPITRIFORMES	ACCIPITRIDAE	species	Crowned eagle	Status: Near Threatened
urn:catalog:ARCOS:ECHUYA_2012:45	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:45	45	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2490	2490	-1.256741	29.816517	Corvus albicollis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CORVIDAE	species	White-necked raven	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:46	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:46	46	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2490	2490	-1.256741	29.816517	Phylloscopus laetus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	SYLVIIDAE	species	Red-faced woodland warbler	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:47	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:47	47	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2490	2490	-1.256741	29.816517	Cisticola chubbi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CISTICOLIDAE	species	Chubb's cisticola	Status: Least Concern
