id	creator
LWI455605797	Troupin, G.
LWI456145253	
LWI459484302	
LWI468451368	Symoens, J.
LWI470439477	
LWI474663487	
LWI480073626	
LWI480473568	
LWI483064857	
LWI484285338	
LWI491311475	
LWI498270587	Iragi, K.
LWI505797371	
LWI506026956	
LWI508048829	Bashonga, M.
LWI509557165	
LWI510568908	
LWI513950401	
LWI514621231	
LWI515306056	
LWI522881287	
LWI524299974	Bashonga, M.
LWI527700581	
LWI528244664	
LWI528427802	
LWI533447702	Iragi K.
LWI538617795	
LWI539243167	Troupin, G.
LWI541047415	
LWI541232565	
LWI541454155	
LWI543632505	
LWI544120448	
LWI554501913	Bashonga, M.
LWI566937289	
LWI571382681	
LWI574700173	
LWI578580641	
LWI579967150	Dumbo, E.
LWI583688059	
LWI584065011	Bashonga, M.
LWI584488487	
LWI584592126	
LWI589557580	
LWI590011562	
LWI590071178	
LWI595390215	
LWI596524637	
LWI599115013	Symoens, J.
LWI98338567	
LWI101514965	
LWI101888745	
LWI103001544	
LWI103341914	Bashonga, M.
LWI104079645	
LWI104079753	
LWI104691230	Bashonga, M.
LWI105202853	
LWI105259556	
LWI105871172	Iragi, K.
LWI105972069	
LWI106022627	
LWI106475609	Troupin, G.
LWI106879949	
LWI107916676	
LWI108290291	
LWI109064839	
LWI109951817	
LWI109990689	
LWI110250793	
LWI110566540	
LWI110585882	
LWI112275113	Gathy, L A., et Symoens, J.
LWI112541850	
LWI113772046	
LWI115314447	
LWI115550588	
LWI116046241	
LWI116609917	Bashonga
LWI117003252	
LWI119668975	
LWI120551229	Troupin, G.
LWI120678593	
LWI120889086	
LWI121060242	
LWI121465959	Troupin, G.
LWI121605842	Troupin, G.
LWI122385875	
LWI123137146	
LWI124218616	
LWI125747790	
LWI126397909	
LWI126502613	
LWI127391241	
LWI128016660	
LWI128875630	
LWI129198245	Troupin, G.
LWI129930731	
LWI130538830	
LWI130541831	
LWI131328934	Troupin, G.
LWI131512834	
LWI132067172	Iragi, K.
LWI132365341	
LWI133042834	
LWI135070987	
LWI135504772	Troupin, G.
LWI137167060	
LWI137793313	
LWI138079300	Bashonga, M.
LWI138420677	
LWI138541426	Symoens, J.
LWI138824505	
LWI139570835	
LWI139692279	
LWI140123566	
LWI140487457	
LWI140683856	Léonard
LWI142860391	
LWI143180231	
LWI143398879	
LWI144054978	
LWI145501528	
LWI146283759	
LWI147520248	
LWI147857631	Troupin, G.
LWI147893806	Troupin, G.
LWI148134518	
LWI148613532	
LWI149027897	Dumbo, E.
LWI149489678	
LWI149535524	
LWI150926809	
LWI151283449	Troupin, G.
LWI152073725	
LWI152241291	
LWI153218243	
LWI153757926	
LWI154043640	
LWI154451145	
LWI155070145	
LWI155906249	Troupin, G.
LWI156299153	Bamps, P.
LWI159990739	Iragi, K.
LWI160961374	
LWI162456901	
LWI162487765	
LWI163476343	
LWI164032590	Wabika, D.
LWI164117403	
LWI164355260	
LWI164550678	
LWI165407640	
LWI165868792	
LWI166696220	
LWI166837565	
LWI166908455	Bashonga, M.
LWI168200735	
LWI168444238	
LWI168599721	
LWI169021841	
LWI169839574	Troupin, G.
LWI170931295	
LWI172454725	
LWI173030003	Troupin, G.
LWI173129984	
LWI173629960	Troupin, G.
LWI173785036	
LWI174314091	
LWI174924994	
LWI175529372	
LWI176888646	
LWI177093755	
LWI177347584	
LWI177625794	
LWI178338696	
LWI178884318	Iragi, K.
LWI179008311	
LWI179290453	Troupin, G.
LWI180952527	
LWI182129431	
LWI182585042	
LWI182990249	
LWI183839048	
LWI184008741	Troupin, G.
LWI184248246	
LWI184636676	
LWI189035648	
LWI189874618	Troupin, G.
LWI190119366	
LWI190212601	
LWI191339941	
LWI191674000	Bamps, P.
LWI192281942	Bashonga, M.
LWI192300163	Symoens, J.
LWI192499158	
LWI192660671	
LWI192756669	
LWI192948144	
LWI193307963	
LWI195561096	
LWI196069417	
LWI196349723	
LWI197316994	
LWI198102125	
LWI199302039	
LWI202870762	
LWI203068257	
LWI203571670	
LWI205019498	Bashonga, M.
LWI205410780	
LWI205637634	
LWI205880967	Troupin, G.
LWI205933403	
LWI206801687	
LWI207941508	
LWI209035421	
LWI210111301	Troupin, G.
LWI210884970	
LWI211571709	
LWI211863947	Troupin, G.
LWI214235464	
LWI216399215	
LWI216971385	
LWI217437075	
LWI220295361	
LWI220439678	
LWI220485783	
LWI220704253	
LWI221071401	
LWI221374687	
LWI223870275	
LWI225221649	
LWI225525188	
LWI225527385	Troupin, G.
LWI225697070	
LWI225722402	
LWI226133951	Bashonga, M.
LWI226384553	
LWI227756055	
LWI228893150	Dumbo, E.
LWI228938760	
LWI229655467	
LWI230265236	
LWI230755986	
LWI231218779	
LWI231536208	
LWI232733461	
LWI232838679	
LWI233586663	
